XGB,LGBM,GBR,Lasso,ElasticNet,CatBoost,TargetLog,Ensemble
12.215888977050781,12.225665742102118,12.214586130931362,12.22567417518809,12.225902200794932,12.211149684738665,12.24769911637256,12.221466493982435
12.08362102508545,12.107381293766732,12.05038720563363,12.2035185092824,12.203297714267118,12.088117072414116,12.109016442313738,12.155514828452098
12.288771629333496,12.295493435571252,12.301821534312833,12.280366177257642,12.278681450941482,12.28864829439253,12.317171167298682,12.283973395891058
12.038098335266113,12.004354112501694,12.009793677910809,12.012070876020049,12.010955055033676,12.023520148293537,11.849404844423074,12.019918814563349
12.635123252868652,12.617537994713464,12.592515125293243,12.557404583227203,12.556611939228805,12.601193475513575,12.429220196836383,12.583539181872185
11.99872875213623,11.990302483896095,11.980939457859087,12.03470699963243,12.034856211573832,11.982670841827206,11.870606902224587,12.01873061374977
12.565669059753418,12.57414963333971,12.496774845052139,12.583264916983028,12.582928145668859,12.54354286674884,12.634606283893019,12.571925740027519
12.361865043640137,12.381943567803562,12.378792823684492,12.327960502460359,12.326099675520775,12.363999044146567,12.206077645517674,12.34185838048391
11.697063446044922,11.715274226702395,11.65547770029375,11.730955357483522,11.72691159152352,11.821676439473183,11.774527900858468,11.724700058913932
11.75334644317627,11.751925751297911,11.708056338643631,11.738137315570636,11.73378843611003,11.776656110009839,11.678448377988165,11.743466776618547
11.760538101196289,11.755943982585759,11.760015134632816,11.791907871518283,11.792776983677177,11.771145317072266,11.771443882099637,11.780483638370182
12.785252571105957,12.850408905806859,12.824666565329665,12.843074146521799,12.84447074546666,12.78997131110506,12.75130259456002,12.82252557803173
11.831059455871582,11.782835616457595,11.843021950233293,11.78650612078343,11.787565555580356,11.856273075528188,11.87757552297847,11.806426790377941
12.274260520935059,12.240331032306873,12.233535778662635,12.303958478307289,12.30398440806983,12.29294150369968,12.540761149388421,12.292063505343084
11.967409133911133,11.902857097207663,11.95394510768776,11.96764504030252,11.964941105536202,11.975845116835831,11.964007453736912,11.967307365369406
11.736275672912598,11.655001381585407,11.715442151002815,11.786508295819525,11.786470750733567,11.747442722812142,11.790564777297387,11.766808842305792
11.963323593139648,11.928473606742894,11.95837797841625,11.960981538408129,11.96104998777942,11.929527171543986,11.91170829631447,11.959217688524687
11.60367488861084,11.636442740256191,11.56006093537636,11.619364067387252,11.6193257578085,11.572619659502523,11.407576060361786,11.609168036929278
11.958189010620117,11.940267347860003,11.984532291221175,11.946826517974253,11.940993779260705,11.938660146454765,11.976665770490767,11.950199871411844
11.686212539672852,11.693949195623663,11.7176713768567,11.677369743541318,11.681540689134744,11.717104914189827,11.842236406331555,11.684878069315841
12.691999435424805,12.697427651102341,12.660876008965044,12.685711246790245,12.686676381231148,12.683280474165374,12.692506186542177,12.68639429345943
11.686177253723145,11.653258702314083,11.731021225832036,11.721084659470616,11.71887210041655,11.712920060626752,11.845109950883979,11.710921145657457
12.30032730102539,12.322437806845954,12.363607818517444,12.366970144367873,12.366034728242433,12.34686575395474,12.345838935721968,12.34672890789731
11.825935363769531,11.855887133871235,11.836262105381053,11.879901170398549,11.876010902210439,11.830110510302353,11.774527900858468,11.859016831034946
11.90317153930664,11.85627506895776,11.899803620086765,11.926204726855987,11.926007713136146,11.92883046503875,11.944714374881176,11.918912899705001
12.419797897338867,12.451875170285948,12.421193139130716,12.398730281688206,12.400327115980879,12.418994207742172,12.454107814022272,12.40717213727589
11.834479331970215,11.826834085139962,11.82873851058373,11.751893498512064,11.753789828551689,11.818538197007161,11.811554895830454,11.783068138396365
12.560271263122559,12.548325703094125,12.535508175904328,12.565352982487052,12.566263247168738,12.54453307018912,12.631343648903034,12.561314272664582
12.144242286682129,12.172880467482509,12.127329081660864,12.240240395343092,12.24043015676318,12.132341437752512,12.242891437918386,12.201097745951493
11.142504692077637,11.216590111994176,11.145114436531044,11.209542230504109,11.212709640379204,11.144477295214344,11.134603622683905,11.183910946753642
